104.17.104.15 13.443ms
104.16.243.37 13.562999999999999ms
104.19.145.209 13.596ms
104.16.57.25 13.602ms
104.16.243.62 13.687999999999999ms
104.16.246.132 13.7125ms
104.19.155.208 13.7315ms
104.18.83.218 13.926ms
104.18.144.104 13.927ms
104.17.109.76 13.937ms
104.16.246.121 13.9825ms
104.16.243.52 14.033999999999999ms
104.17.189.171 14.033999999999999ms
104.17.110.108 14.067ms
104.17.208.248 14.086500000000001ms
104.17.177.245 14.096ms
104.18.92.67 14.137ms
162.159.152.81 14.145499999999998ms
104.18.82.55 14.2115ms
104.17.187.148 14.2195ms
104.17.189.155 14.302ms
104.19.155.34 14.350000000000001ms
104.17.166.36 14.357999999999999ms
104.19.221.199 14.419ms
104.18.82.48 14.4725ms
104.17.210.33 14.4765ms
104.17.174.133 14.52ms
104.17.107.62 14.536000000000001ms
104.17.168.152 14.582ms
104.17.173.146 14.5825ms
162.159.153.217 14.7595ms
104.18.84.220 14.778500000000001ms
104.17.166.97 14.83ms
104.17.217.237 14.907499999999999ms
162.159.153.216 15.075500000000002ms
172.64.53.111 15.178ms
162.159.152.11 15.265ms
104.16.157.205 15.322500000000002ms
104.16.240.57 15.350999999999999ms
104.19.144.146 15.5045ms
104.17.107.139 15.5745ms
104.17.178.206 15.7075ms
104.19.148.101 15.764999999999999ms
104.19.212.165 15.7945ms
104.19.158.170 15.8535ms
104.17.190.161 15.936499999999999ms
162.159.153.209 15.953000000000001ms
104.17.163.212 15.9555ms
104.17.165.127 16.044999999999998ms
104.16.249.246 16.083ms
162.159.153.42 16.113ms
104.16.240.47 16.116999999999997ms
104.19.150.100 16.2065ms
104.19.147.110 16.25ms
104.18.86.199 16.4845ms
104.17.176.195 16.5475ms
104.17.110.70 16.8335ms
104.17.161.228 16.911ms
104.19.148.108 16.917ms
104.16.248.114 16.9685ms
104.19.156.135 16.98ms
104.19.156.79 17.0565ms
104.19.148.100 17.102ms
104.17.210.171 17.152ms
104.18.89.31 17.1765ms
198.41.208.53 17.2105ms
104.16.241.212 17.222ms
104.19.145.140 17.311ms
104.16.241.211 17.322000000000003ms
104.19.146.130 17.409ms
162.159.152.53 17.517500000000002ms
104.17.212.33 17.581ms
104.18.85.26 17.598ms
104.17.167.44 17.646ms
104.17.250.94 17.83ms
104.17.208.177 17.834ms
104.18.83.92 17.8825ms
104.16.250.228 18.2605ms
104.17.209.66 18.4465ms
104.17.211.34 18.5635ms
162.159.153.170 18.654ms
198.41.208.74 19.519ms
162.159.153.144 19.5695ms
104.16.253.59 19.6455ms
104.18.86.131 19.6905ms
104.17.209.164 19.729ms
104.18.94.241 19.773ms
104.17.213.211 19.8295ms
104.19.145.81 20.3475ms
104.16.254.199 20.574ms
104.16.246.101 21.052999999999997ms
104.17.185.36 21.570999999999998ms
104.17.184.2 22.7305ms
162.159.153.194 23.227ms
104.17.143.103 23.366999999999997ms
104.17.101.169 23.4595ms
104.19.30.58 24.374000000000002ms
104.16.251.14 24.9095ms
104.16.240.35 27.476ms
104.17.100.38 27.7765ms
104.21.239.20 32.341ms
104.17.219.208 34.153ms
104.18.85.29 35.2715ms
104.18.80.243 120.363ms
104.19.147.67 121.2585ms
104.19.158.41 123.3625ms
104.17.162.42 511.1415ms
104.18.126.28 520.601ms
104.16.243.184 639.0935000000001ms
198.41.212.130 infms
198.41.212.73 infms
198.41.212.129 infms
198.41.212.54 infms
